CASTOM track file / LorettOrbital 0.0.4
StationName: r8s
Station Position: 36.16776° 54.52678° 0.16km
Satellite: METOP-B
Start date & time: 2022-04-10   08:33:29 UTC
Orbit: 49605
Time (UTC)   Azimuth (deg)   Elevation (deg)

08:33:29   12.87   0.00
08:33:30   12.85   0.06
08:33:31   12.82   0.12
08:33:32   12.79   0.18
08:33:33   12.77   0.23
08:33:34   12.74   0.29
08:33:35   12.71   0.35
08:33:36   12.69   0.41
08:33:37   12.66   0.47
08:33:38   12.63   0.53
08:33:39   12.60   0.59
08:33:40   12.58   0.65
08:33:41   12.55   0.71
08:33:42   12.52   0.77
08:33:43   12.49   0.83
08:33:44   12.47   0.89
08:33:45   12.44   0.95
08:33:46   12.41   1.01
08:33:47   12.38   1.07
08:33:48   12.35   1.13
08:33:49   12.32   1.19
08:33:50   12.30   1.25
08:33:51   12.27   1.31
08:33:52   12.24   1.37
08:33:53   12.21   1.43
08:33:54   12.18   1.49
08:33:55   12.15   1.55
08:33:56   12.12   1.62
08:33:57   12.09   1.68
08:33:58   12.06   1.74
08:33:59   12.03   1.80
08:34:00   12.00   1.86
08:34:01   11.97   1.93
08:34:02   11.94   1.99
08:34:03   11.91   2.05
08:34:04   11.88   2.11
08:34:05   11.85   2.17
08:34:06   11.82   2.24
08:34:07   11.78   2.30
08:34:08   11.75   2.36
08:34:09   11.72   2.43
08:34:10   11.69   2.49
08:34:11   11.66   2.55
08:34:12   11.63   2.62
08:34:13   11.59   2.68
08:34:14   11.56   2.74
08:34:15   11.53   2.81
08:34:16   11.50   2.87
08:34:17   11.46   2.93
08:34:18   11.43   3.00
08:34:19   11.40   3.06
08:34:20   11.36   3.13
08:34:21   11.33   3.19
08:34:22   11.30   3.26
08:34:23   11.26   3.32
08:34:24   11.23   3.39
08:34:25   11.20   3.45
08:34:26   11.16   3.52
08:34:27   11.13   3.58
08:34:28   11.09   3.65
08:34:29   11.06   3.72
08:34:30   11.02   3.78
08:34:31   10.99   3.85
08:34:32   10.95   3.91
08:34:33   10.92   3.98
08:34:34   10.88   4.05
08:34:35   10.85   4.11
08:34:36   10.81   4.18
08:34:37   10.77   4.25
08:34:38   10.74   4.31
08:34:39   10.70   4.38
08:34:40   10.66   4.45
08:34:41   10.63   4.52
08:34:42   10.59   4.58
08:34:43   10.55   4.65
08:34:44   10.51   4.72
08:34:45   10.48   4.79
08:34:46   10.44   4.86
08:34:47   10.40   4.93
08:34:48   10.36   5.00
08:34:49   10.32   5.06
08:34:50   10.28   5.13
08:34:51   10.25   5.20
08:34:52   10.21   5.27
08:34:53   10.17   5.34
08:34:54   10.13   5.41
08:34:55   10.09   5.48
08:34:56   10.05   5.55
08:34:57   10.01   5.62
08:34:58   9.97   5.69
08:34:59   9.93   5.76
08:35:00   9.88   5.83
08:35:01   9.84   5.91
08:35:02   9.80   5.98
08:35:03   9.76   6.05
08:35:04   9.72   6.12
08:35:05   9.68   6.19
08:35:06   9.63   6.26
08:35:07   9.59   6.34
08:35:08   9.55   6.41
08:35:09   9.51   6.48
