CASTOM track file / LorettOrbital 0.0.4
StationName: r8s
Station Position: 36.16776° 54.52678° 0.16km
Satellite: NOAA 18
Start date & time: 2022-04-10   09:03:35 UTC
Orbit: 87045
Time (UTC)   Azimuth (deg)   Elevation (deg)

09:03:35   8.08   15.00
09:03:36   8.02   15.10
09:03:37   7.97   15.20
09:03:38   7.91   15.31
09:03:39   7.86   15.41
09:03:40   7.80   15.51
09:03:41   7.75   15.62
09:03:42   7.69   15.72
09:03:43   7.63   15.82
09:03:44   7.58   15.93
09:03:45   7.52   16.03
09:03:46   7.46   16.14
09:03:47   7.40   16.25
09:03:48   7.34   16.35
09:03:49   7.28   16.46
09:03:50   7.22   16.57
09:03:51   7.16   16.68
09:03:52   7.10   16.78
09:03:53   7.04   16.89
09:03:54   6.98   17.00
09:03:55   6.92   17.11
09:03:56   6.86   17.22
09:03:57   6.79   17.33
09:03:58   6.73   17.44
09:03:59   6.66   17.55
09:04:00   6.60   17.67
09:04:01   6.53   17.78
09:04:02   6.47   17.89
09:04:03   6.40   18.01
09:04:04   6.34   18.12
09:04:05   6.27   18.23
09:04:06   6.20   18.35
09:04:07   6.13   18.46
09:04:08   6.06   18.58
09:04:09   6.00   18.70
09:04:10   5.93   18.81
09:04:11   5.85   18.93
09:04:12   5.78   19.05
09:04:13   5.71   19.17
09:04:14   5.64   19.28
09:04:15   5.57   19.40
09:04:16   5.49   19.52
09:04:17   5.42   19.64
09:04:18   5.35   19.77
09:04:19   5.27   19.89
09:04:20   5.19   20.01
09:04:21   5.12   20.13
09:04:22   5.04   20.25
09:04:23   4.96   20.38
09:04:24   4.88   20.50
09:04:25   4.80   20.63
09:04:26   4.73   20.75
09:04:27   4.64   20.88
09:04:28   4.56   21.00
09:04:29   4.48   21.13
09:04:30   4.40   21.26
09:04:31   4.32   21.39
09:04:32   4.23   21.52
09:04:33   4.15   21.65
09:04:34   4.06   21.78
09:04:35   3.98   21.91
09:04:36   3.89   22.04
09:04:37   3.80   22.17
09:04:38   3.71   22.30
09:04:39   3.62   22.43
09:04:40   3.53   22.57
09:04:41   3.44   22.70
09:04:42   3.35   22.84
09:04:43   3.26   22.97
09:04:44   3.16   23.11
09:04:45   3.07   23.24
09:04:46   2.97   23.38
09:04:47   2.88   23.52
09:04:48   2.78   23.66
09:04:49   2.68   23.80
09:04:50   2.59   23.94
09:04:51   2.49   24.08
09:04:52   2.39   24.22
09:04:53   2.28   24.36
09:04:54   2.18   24.50
09:04:55   2.08   24.65
09:04:56   1.97   24.79
09:04:57   1.87   24.94
09:04:58   1.76   25.08
09:04:59   1.66   25.23
09:05:00   1.55   25.37
09:05:01   1.44   25.52
09:05:02   1.33   25.67
09:05:03   1.22   25.82
09:05:04   1.10   25.97
09:05:05   0.99   26.12
09:05:06   0.87   26.27
09:05:07   0.76   26.42
09:05:08   0.64   26.57
09:05:09   0.52   26.72
09:05:10   0.40   26.88
09:05:11   0.28   27.03
09:05:12   0.16   27.19
09:05:13   0.04   27.34
09:05:14   359.91   27.50
09:05:15   359.79   27.66
09:05:16   359.66   27.82
09:05:17   359.53   27.98
09:05:18   359.40   28.13
09:05:19   359.27   28.30
09:05:20   359.14   28.46
09:05:21   359.01   28.62
09:05:22   358.87   28.78
09:05:23   358.74   28.94
09:05:24   358.60   29.11
09:05:25   358.46   29.27
09:05:26   358.32   29.44
09:05:27   358.18   29.61
09:05:28   358.03   29.77
09:05:29   357.89   29.94
09:05:30   357.74   30.11
09:05:31   357.59   30.28
09:05:32   357.44   30.45
09:05:33   357.29   30.62
09:05:34   357.14   30.79
09:05:35   356.98   30.97
09:05:36   356.83   31.14
09:05:37   356.67   31.31
09:05:38   356.51   31.49
09:05:39   356.35   31.66
09:05:40   356.18   31.84
09:05:41   356.02   32.02
09:05:42   355.85   32.20
09:05:43   355.68   32.38
09:05:44   355.51   32.56
09:05:45   355.34   32.74
09:05:46   355.16   32.92
09:05:47   354.99   33.10
09:05:48   354.81   33.28
09:05:49   354.63   33.47
09:05:50   354.44   33.65
09:05:51   354.26   33.84
09:05:52   354.07   34.02
09:05:53   353.88   34.21
09:05:54   353.69   34.40
09:05:55   353.49   34.59
09:05:56   353.30   34.77
09:05:57   353.10   34.96
09:05:58   352.90   35.16
09:05:59   352.69   35.35
09:06:00   352.49   35.54
09:06:01   352.28   35.73
09:06:02   352.07   35.92
09:06:03   351.86   36.12
09:06:04   351.64   36.31
09:06:05   351.42   36.51
09:06:06   351.20   36.71
09:06:07   350.97   36.90
09:06:08   350.75   37.10
09:06:09   350.52   37.30
09:06:10   350.29   37.50
09:06:11   350.05   37.70
09:06:12   349.81   37.90
09:06:13   349.57   38.10
09:06:14   349.33   38.30
09:06:15   349.08   38.50
09:06:16   348.83   38.70
09:06:17   348.57   38.91
09:06:18   348.32   39.11
09:06:19   348.06   39.32
09:06:20   347.79   39.52
09:06:21   347.52   39.73
09:06:22   347.25   39.93
09:06:23   346.98   40.14
09:06:24   346.70   40.35
09:06:25   346.42   40.55
09:06:26   346.14   40.76
09:06:27   345.85   40.97
09:06:28   345.55   41.18
09:06:29   345.26   41.39
09:06:30   344.96   41.59
09:06:31   344.65   41.80
09:06:32   344.35   42.01
09:06:33   344.03   42.22
09:06:34   343.72   42.43
09:06:35   343.40   42.64
09:06:36   343.07   42.85
09:06:37   342.74   43.06
09:06:38   342.41   43.27
09:06:39   342.07   43.48
09:06:40   341.73   43.70
09:06:41   341.38   43.91
09:06:42   341.03   44.12
09:06:43   340.67   44.33
09:06:44   340.31   44.54
09:06:45   339.95   44.75
09:06:46   339.57   44.96
09:06:47   339.20   45.17
09:06:48   338.82   45.38
09:06:49   338.43   45.59
09:06:50   338.04   45.79
09:06:51   337.64   46.00
09:06:52   337.24   46.21
09:06:53   336.83   46.42
09:06:54   336.42   46.62
09:06:55   336.00   46.83
09:06:56   335.58   47.04
09:06:57   335.15   47.24
09:06:58   334.71   47.44
09:06:59   334.27   47.65
09:07:00   333.83   47.85
09:07:01   333.37   48.05
09:07:02   332.92   48.25
09:07:03   332.45   48.45
09:07:04   331.98   48.65
09:07:05   331.50   48.84
09:07:06   331.02   49.04
09:07:07   330.53   49.23
09:07:08   330.04   49.42
09:07:09   329.53   49.61
09:07:10   329.03   49.80
09:07:11   328.51   49.99
09:07:12   327.99   50.18
09:07:13   327.46   50.36
09:07:14   326.93   50.54
09:07:15   326.39   50.72
09:07:16   325.84   50.90
09:07:17   325.29   51.08
09:07:18   324.73   51.25
09:07:19   324.16   51.42
09:07:20   323.59   51.59
09:07:21   323.01   51.76
09:07:22   322.43   51.92
09:07:23   321.83   52.09
09:07:24   321.23   52.25
09:07:25   320.63   52.40
09:07:26   320.02   52.55
09:07:27   319.40   52.71
09:07:28   318.77   52.85
09:07:29   318.14   53.00
09:07:30   317.51   53.14
09:07:31   316.86   53.28
09:07:32   316.21   53.41
09:07:33   315.56   53.54
09:07:34   314.90   53.67
09:07:35   314.23   53.79
09:07:36   313.56   53.91
09:07:37   312.88   54.03
09:07:38   312.19   54.14
09:07:39   311.51   54.25
09:07:40   310.81   54.36
09:07:41   310.11   54.46
09:07:42   309.41   54.55
09:07:43   308.70   54.65
09:07:44   307.98   54.73
09:07:45   307.27   54.82
09:07:46   306.54   54.90
09:07:47   305.82   54.97
09:07:48   305.09   55.04
09:07:49   304.35   55.11
09:07:50   303.62   55.17
09:07:51   302.88   55.23
09:07:52   302.14   55.28
09:07:53   301.39   55.33
09:07:54   300.64   55.37
09:07:55   299.89   55.41
09:07:56   299.14   55.44
09:07:57   298.39   55.47
09:07:58   297.63   55.49
09:07:59   296.88   55.51
09:08:00   296.12   55.52
09:08:01   295.36   55.53
09:08:02   294.60   55.53
09:08:03   293.85   55.53
09:08:04   293.09   55.52
09:08:05   292.33   55.51
09:08:06   291.57   55.50
09:08:07   290.82   55.47
09:08:08   290.06   55.45
09:08:09   289.31   55.42
09:08:10   288.56   55.38
09:08:11   287.81   55.34
09:08:12   287.06   55.29
09:08:13   286.32   55.24
09:08:14   285.58   55.19
09:08:15   284.84   55.13
09:08:16   284.10   55.06
09:08:17   283.37   54.99
09:08:18   282.64   54.92
09:08:19   281.92   54.84
09:08:20   281.20   54.76
09:08:21   280.48   54.67
09:08:22   279.77   54.58
09:08:23   279.06   54.49
09:08:24   278.36   54.39
09:08:25   277.66   54.28
09:08:26   276.97   54.18
09:08:27   276.28   54.06
09:08:28   275.60   53.95
09:08:29   274.93   53.83
09:08:30   274.26   53.71
09:08:31   273.59   53.58
09:08:32   272.93   53.45
09:08:33   272.28   53.32
09:08:34   271.63   53.18
09:08:35   270.99   53.04
09:08:36   270.36   52.89
09:08:37   269.73   52.75
09:08:38   269.11   52.60
09:08:39   268.49   52.44
09:08:40   267.88   52.29
09:08:41   267.28   52.13
09:08:42   266.68   51.97
09:08:43   266.09   51.80
09:08:44   265.51   51.64
09:08:45   264.93   51.47
09:08:46   264.36   51.30
09:08:47   263.80   51.12
09:08:48   263.24   50.94
09:08:49   262.69   50.77
09:08:50   262.15   50.59
09:08:51   261.61   50.40
09:08:52   261.08   50.22
09:08:53   260.55   50.03
09:08:54   260.04   49.84
09:08:55   259.53   49.66
09:08:56   259.02   49.46
09:08:57   258.52   49.27
09:08:58   258.03   49.08
09:08:59   257.54   48.88
09:09:00   257.06   48.68
09:09:01   256.59   48.49
09:09:02   256.12   48.29
09:09:03   255.66   48.08
09:09:04   255.20   47.88
09:09:05   254.75   47.68
09:09:06   254.31   47.48
09:09:07   253.87   47.27
09:09:08   253.43   47.07
09:09:09   253.01   46.86
09:09:10   252.58   46.65
09:09:11   252.17   46.45
09:09:12   251.76   46.24
09:09:13   251.35   46.03
09:09:14   250.95   45.82
09:09:15   250.56   45.61
09:09:16   250.17   45.40
09:09:17   249.78   45.19
09:09:18   249.41   44.98
09:09:19   249.03   44.77
09:09:20   248.66   44.55
09:09:21   248.30   44.34
09:09:22   247.94   44.13
09:09:23   247.58   43.92
09:09:24   247.23   43.71
09:09:25   246.89   43.50
09:09:26   246.55   43.28
09:09:27   246.21   43.07
09:09:28   245.88   42.86
09:09:29   245.55   42.65
09:09:30   245.23   42.44
09:09:31   244.91   42.22
09:09:32   244.60   42.01
09:09:33   244.28   41.80
09:09:34   243.98   41.59
09:09:35   243.67   41.38
09:09:36   243.38   41.17
09:09:37   243.08   40.96
09:09:38   242.79   40.75
09:09:39   242.50   40.54
09:09:40   242.22   40.33
09:09:41   241.94   40.13
09:09:42   241.66   39.92
09:09:43   241.39   39.71
09:09:44   241.12   39.50
09:09:45   240.85   39.30
09:09:46   240.59   39.09
09:09:47   240.33   38.89
09:09:48   240.08   38.68
09:09:49   239.82   38.48
09:09:50   239.57   38.27
09:09:51   239.33   38.07
09:09:52   239.08   37.87
09:09:53   238.84   37.67
09:09:54   238.61   37.46
09:09:55   238.37   37.26
09:09:56   238.14   37.06
09:09:57   237.91   36.86
09:09:58   237.68   36.67
09:09:59   237.46   36.47
09:10:00   237.24   36.27
09:10:01   237.02   36.07
09:10:02   236.81   35.88
09:10:03   236.59   35.68
09:10:04   236.38   35.49
09:10:05   236.18   35.30
09:10:06   235.97   35.10
09:10:07   235.77   34.91
09:10:08   235.57   34.72
09:10:09   235.37   34.53
09:10:10   235.17   34.34
09:10:11   234.98   34.15
09:10:12   234.79   33.96
09:10:13   234.60   33.77
09:10:14   234.41   33.59
09:10:15   234.23   33.40
09:10:16   234.04   33.22
09:10:17   233.86   33.03
09:10:18   233.68   32.85
09:10:19   233.51   32.66
09:10:20   233.33   32.48
09:10:21   233.16   32.30
09:10:22   232.99   32.12
09:10:23   232.82   31.94
09:10:24   232.65   31.76
09:10:25   232.49   31.58
09:10:26   232.33   31.41
09:10:27   232.17   31.23
09:10:28   232.01   31.05
09:10:29   231.85   30.88
09:10:30   231.69   30.71
09:10:31   231.54   30.53
09:10:32   231.38   30.36
09:10:33   231.23   30.19
09:10:34   231.08   30.02
09:10:35   230.93   29.85
09:10:36   230.79   29.68
09:10:37   230.64   29.51
09:10:38   230.50   29.34
09:10:39   230.36   29.17
09:10:40   230.22   29.01
09:10:41   230.08   28.84
09:10:42   229.94   28.68
09:10:43   229.80   28.51
09:10:44   229.67   28.35
09:10:45   229.54   28.19
09:10:46   229.40   28.03
09:10:47   229.27   27.86
09:10:48   229.14   27.70
09:10:49   229.02   27.55
09:10:50   228.89   27.39
09:10:51   228.76   27.23
09:10:52   228.64   27.07
09:10:53   228.52   26.92
09:10:54   228.40   26.76
09:10:55   228.27   26.60
09:10:56   228.16   26.45
09:10:57   228.04   26.30
09:10:58   227.92   26.14
09:10:59   227.80   25.99
09:11:00   227.69   25.84
09:11:01   227.58   25.69
09:11:02   227.46   25.54
09:11:03   227.35   25.39
09:11:04   227.24   25.24
09:11:05   227.13   25.09
09:11:06   227.02   24.95
09:11:07   226.92   24.80
09:11:08   226.81   24.66
09:11:09   226.70   24.51
09:11:10   226.60   24.37
09:11:11   226.50   24.22
09:11:12   226.39   24.08
09:11:13   226.29   23.94
09:11:14   226.19   23.80
09:11:15   226.09   23.66
09:11:16   225.99   23.52
09:11:17   225.89   23.38
09:11:18   225.80   23.24
09:11:19   225.70   23.10
09:11:20   225.61   22.96
09:11:21   225.51   22.82
09:11:22   225.42   22.69
09:11:23   225.32   22.55
09:11:24   225.23   22.42
09:11:25   225.14   22.28
09:11:26   225.05   22.15
09:11:27   224.96   22.01
09:11:28   224.87   21.88
09:11:29   224.78   21.75
09:11:30   224.70   21.62
09:11:31   224.61   21.49
09:11:32   224.53   21.36
09:11:33   224.44   21.23
09:11:34   224.36   21.10
09:11:35   224.27   20.97
09:11:36   224.19   20.84
09:11:37   224.11   20.71
09:11:38   224.03   20.59
09:11:39   223.94   20.46
09:11:40   223.86   20.34
09:11:41   223.78   20.21
09:11:42   223.71   20.09
09:11:43   223.63   19.96
09:11:44   223.55   19.84
09:11:45   223.47   19.72
09:11:46   223.40   19.59
09:11:47   223.32   19.47
09:11:48   223.25   19.35
09:11:49   223.17   19.23
09:11:50   223.10   19.11
09:11:51   223.02   18.99
09:11:52   222.95   18.87
09:11:53   222.88   18.75
09:11:54   222.81   18.63
09:11:55   222.74   18.52
09:11:56   222.67   18.40
09:11:57   222.60   18.28
09:11:58   222.53   18.17
09:11:59   222.46   18.05
09:12:00   222.39   17.94
09:12:01   222.32   17.82
09:12:02   222.26   17.71
09:12:03   222.19   17.59
09:12:04   222.12   17.48
09:12:05   222.06   17.37
09:12:06   221.99   17.26
09:12:07   221.93   17.14
09:12:08   221.86   17.03
