CASTOM track file / LorettOrbital 0.0.4
StationName: r8s
Station Position: 36.16776° 54.52678° 0.16km
Satellite: METEOR-M 2
Start date & time: 2022-04-13   04:46:55 UTC
Orbit: 40259
Time (UTC)   Azimuth (deg)   Elevation (deg)

04:46:55   22.29   15.00
04:46:56   22.33   15.10
04:46:57   22.38   15.21
04:46:58   22.43   15.31
04:46:59   22.47   15.42
04:47:00   22.52   15.53
04:47:01   22.57   15.63
04:47:02   22.61   15.74
04:47:03   22.66   15.85
04:47:04   22.71   15.96
04:47:05   22.76   16.06
04:47:06   22.81   16.17
04:47:07   22.85   16.28
04:47:08   22.90   16.39
04:47:09   22.95   16.50
04:47:10   23.00   16.61
04:47:11   23.05   16.73
04:47:12   23.10   16.84
04:47:13   23.16   16.95
04:47:14   23.21   17.06
04:47:15   23.26   17.18
04:47:16   23.31   17.29
04:47:17   23.36   17.40
04:47:18   23.42   17.52
04:47:19   23.47   17.63
04:47:20   23.52   17.75
04:47:21   23.58   17.87
04:47:22   23.63   17.98
04:47:23   23.69   18.10
04:47:24   23.74   18.22
04:47:25   23.80   18.34
04:47:26   23.85   18.46
04:47:27   23.91   18.58
04:47:28   23.97   18.70
04:47:29   24.02   18.82
04:47:30   24.08   18.94
04:47:31   24.14   19.06
04:47:32   24.20   19.19
04:47:33   24.26   19.31
04:47:34   24.31   19.43
04:47:35   24.37   19.56
04:47:36   24.43   19.68
04:47:37   24.50   19.81
04:47:38   24.56   19.94
04:47:39   24.62   20.06
04:47:40   24.68   20.19
04:47:41   24.74   20.32
04:47:42   24.81   20.45
04:47:43   24.87   20.58
04:47:44   24.93   20.71
04:47:45   25.00   20.84
04:47:46   25.06   20.97
04:47:47   25.13   21.10
04:47:48   25.20   21.23
04:47:49   25.26   21.37
04:47:50   25.33   21.50
04:47:51   25.40   21.64
04:47:52   25.47   21.77
04:47:53   25.53   21.91
04:47:54   25.60   22.05
04:47:55   25.67   22.18
04:47:56   25.75   22.32
04:47:57   25.82   22.46
04:47:58   25.89   22.60
04:47:59   25.96   22.74
04:48:00   26.03   22.88
04:48:01   26.11   23.02
04:48:02   26.18   23.17
04:48:03   26.26   23.31
04:48:04   26.33   23.45
04:48:05   26.41   23.60
04:48:06   26.49   23.75
04:48:07   26.56   23.89
04:48:08   26.64   24.04
04:48:09   26.72   24.19
04:48:10   26.80   24.34
04:48:11   26.88   24.49
04:48:12   26.96   24.64
04:48:13   27.05   24.79
04:48:14   27.13   24.94
04:48:15   27.21   25.09
04:48:16   27.30   25.25
04:48:17   27.38   25.40
04:48:18   27.47   25.56
04:48:19   27.56   25.72
04:48:20   27.64   25.87
04:48:21   27.73   26.03
04:48:22   27.82   26.19
04:48:23   27.91   26.35
04:48:24   28.00   26.51
04:48:25   28.09   26.67
04:48:26   28.19   26.84
04:48:27   28.28   27.00
04:48:28   28.38   27.16
04:48:29   28.47   27.33
04:48:30   28.57   27.50
04:48:31   28.67   27.66
04:48:32   28.76   27.83
04:48:33   28.86   28.00
04:48:34   28.96   28.17
04:48:35   29.07   28.34
04:48:36   29.17   28.51
04:48:37   29.27   28.69
04:48:38   29.38   28.86
04:48:39   29.48   29.04
04:48:40   29.59   29.21
04:48:41   29.70   29.39
04:48:42   29.81   29.57
04:48:43   29.92   29.75
04:48:44   30.03   29.93
04:48:45   30.14   30.11
04:48:46   30.26   30.29
04:48:47   30.37   30.48
04:48:48   30.49   30.66
04:48:49   30.61   30.85
04:48:50   30.73   31.03
04:48:51   30.85   31.22
04:48:52   30.97   31.41
04:48:53   31.09   31.60
04:48:54   31.22   31.79
04:48:55   31.34   31.98
04:48:56   31.47   32.18
04:48:57   31.60   32.37
04:48:58   31.73   32.57
04:48:59   31.87   32.76
