CASTOM track file / LorettOrbital 0.0.4
StationName: r8s
Station Position: 36.16776° 54.52678° 0.16km
Satellite: METEOR-M2 2
Start date & time: 2022-04-13   00:36:02 UTC
Orbit: 14409
Time (UTC)   Azimuth (deg)   Elevation (deg)

00:36:02   27.57   15.00
00:36:03   27.64   15.10
00:36:04   27.72   15.20
00:36:05   27.79   15.30
00:36:06   27.87   15.41
00:36:07   27.95   15.51
00:36:08   28.02   15.61
00:36:09   28.10   15.71
00:36:10   28.18   15.82
00:36:11   28.26   15.92
00:36:12   28.34   16.03
00:36:13   28.42   16.13
00:36:14   28.50   16.24
00:36:15   28.58   16.34
00:36:16   28.66   16.45
00:36:17   28.74   16.55
00:36:18   28.82   16.66
00:36:19   28.91   16.77
00:36:20   28.99   16.88
00:36:21   29.08   16.98
00:36:22   29.16   17.09
00:36:23   29.25   17.20
00:36:24   29.33   17.31
00:36:25   29.42   17.42
00:36:26   29.50   17.53
00:36:27   29.59   17.64
00:36:28   29.68   17.75
00:36:29   29.77   17.86
00:36:30   29.86   17.98
00:36:31   29.95   18.09
00:36:32   30.04   18.20
00:36:33   30.13   18.32
00:36:34   30.22   18.43
00:36:35   30.32   18.54
00:36:36   30.41   18.66
00:36:37   30.50   18.77
00:36:38   30.60   18.89
00:36:39   30.70   19.01
00:36:40   30.79   19.12
00:36:41   30.89   19.24
00:36:42   30.99   19.36
00:36:43   31.08   19.48
00:36:44   31.18   19.59
00:36:45   31.28   19.71
00:36:46   31.38   19.83
00:36:47   31.49   19.95
00:36:48   31.59   20.07
00:36:49   31.69   20.20
00:36:50   31.79   20.32
00:36:51   31.90   20.44
00:36:52   32.00   20.56
00:36:53   32.11   20.69
00:36:54   32.22   20.81
00:36:55   32.33   20.93
00:36:56   32.43   21.06
00:36:57   32.54   21.18
00:36:58   32.65   21.31
00:36:59   32.77   21.44
00:37:00   32.88   21.56
00:37:01   32.99   21.69
00:37:02   33.11   21.82
00:37:03   33.22   21.95
00:37:04   33.34   22.08
00:37:05   33.45   22.21
00:37:06   33.57   22.34
00:37:07   33.69   22.47
00:37:08   33.81   22.60
00:37:09   33.93   22.73
00:37:10   34.05   22.86
00:37:11   34.17   23.00
00:37:12   34.30   23.13
