CASTOM track file / LorettOrbital 0.0.4
StationName: r8s
Station Position: 36.16776° 54.52678° 0.16km
Satellite: METOP-C
Start date & time: 2022-04-13   18:20:28 UTC
Orbit: 17811
Time (UTC)   Azimuth (deg)   Elevation (deg)

18:20:28   175.95   70.00
18:20:29   176.28   70.46
18:20:30   176.62   70.92
18:20:31   176.98   71.38
18:20:32   177.36   71.84
18:20:33   177.76   72.31
18:20:34   178.18   72.77
18:20:35   178.63   73.24
18:20:36   179.10   73.70
18:20:37   179.60   74.17
18:20:38   180.14   74.64
18:20:39   180.71   75.11
18:20:40   181.32   75.58
18:20:41   181.97   76.05
18:20:42   182.66   76.51
18:20:43   183.41   76.98
18:20:44   184.21   77.45
18:20:45   185.08   77.91
18:20:46   186.02   78.38
18:20:47   187.04   78.84
18:20:48   188.15   79.30
18:20:49   189.36   79.76
18:20:50   190.68   80.21
18:20:51   192.13   80.66
18:20:52   193.73   81.10
18:20:53   195.50   81.54
18:20:54   197.46   81.96
18:20:55   199.64   82.38
18:20:56   202.07   82.79
18:20:57   204.79   83.18
18:20:58   207.84   83.56
18:20:59   211.25   83.91
18:21:00   215.08   84.25
18:21:01   219.36   84.55
18:21:02   224.12   84.82
18:21:03   229.36   85.06
18:21:04   235.07   85.24
18:21:05   241.18   85.38
18:21:06   247.59   85.46
18:21:07   254.15   85.48
18:21:08   260.69   85.45
18:21:09   267.05   85.36
18:21:10   273.08   85.21
18:21:11   278.70   85.01
18:21:12   283.84   84.77
18:21:13   288.50   84.49
18:21:14   292.68   84.18
18:21:15   296.42   83.84
18:21:16   299.75   83.48
18:21:17   302.72   83.10
18:21:18   305.38   82.71
18:21:19   307.76   82.30
18:21:20   309.89   81.88
18:21:21   311.80   81.45
18:21:22   313.54   81.01
18:21:23   315.10   80.57
18:21:24   316.53   80.12
18:21:25   317.82   79.67
18:21:26   319.01   79.21
18:21:27   320.10   78.75
18:21:28   321.10   78.29
18:21:29   322.03   77.83
18:21:30   322.88   77.36
18:21:31   323.67   76.89
18:21:32   324.41   76.43
18:21:33   325.10   75.96
18:21:34   325.74   75.49
18:21:35   326.34   75.02
18:21:36   326.90   74.56
18:21:37   327.43   74.09
18:21:38   327.92   73.62
18:21:39   328.39   73.16
18:21:40   328.83   72.69
18:21:41   329.25   72.23
18:21:42   329.65   71.76
18:21:43   330.02   71.30
18:21:44   330.38   70.84
