CASTOM track file / LorettOrbital 0.0.4
StationName: r8s
Station Position: 36.16776° 54.52678° 0.16km
Satellite: NOAA 19
Start date & time: 2022-04-13   06:36:09 UTC
Orbit: 67924
Time (UTC)   Azimuth (deg)   Elevation (deg)

06:36:09   7.99   15.00
06:36:10   7.93   15.10
06:36:11   7.87   15.20
06:36:12   7.82   15.30
06:36:13   7.76   15.41
06:36:14   7.70   15.51
06:36:15   7.64   15.61
06:36:16   7.58   15.72
06:36:17   7.52   15.82
06:36:18   7.46   15.92
06:36:19   7.40   16.03
06:36:20   7.34   16.13
06:36:21   7.28   16.24
06:36:22   7.22   16.35
06:36:23   7.15   16.45
06:36:24   7.09   16.56
06:36:25   7.03   16.67
06:36:26   6.96   16.77
06:36:27   6.90   16.88
06:36:28   6.83   16.99
06:36:29   6.77   17.10
06:36:30   6.70   17.21
06:36:31   6.64   17.32
06:36:32   6.57   17.43
06:36:33   6.50   17.54
06:36:34   6.44   17.65
06:36:35   6.37   17.76
06:36:36   6.30   17.87
06:36:37   6.23   17.99
06:36:38   6.16   18.10
06:36:39   6.09   18.21
06:36:40   6.02   18.33
06:36:41   5.95   18.44
06:36:42   5.87   18.56
06:36:43   5.80   18.67
06:36:44   5.73   18.79
06:36:45   5.65   18.90
06:36:46   5.58   19.02
06:36:47   5.50   19.14
06:36:48   5.43   19.26
06:36:49   5.35   19.37
06:36:50   5.28   19.49
06:36:51   5.20   19.61
06:36:52   5.12   19.73
06:36:53   5.04   19.85
06:36:54   4.96   19.97
06:36:55   4.88   20.10
06:36:56   4.80   20.22
06:36:57   4.72   20.34
06:36:58   4.64   20.46
06:36:59   4.56   20.59
06:37:00   4.47   20.71
06:37:01   4.39   20.83
06:37:02   4.30   20.96
06:37:03   4.22   21.09
06:37:04   4.13   21.21
06:37:05   4.04   21.34
06:37:06   3.96   21.47
06:37:07   3.87   21.59
06:37:08   3.78   21.72
06:37:09   3.69   21.85
06:37:10   3.60   21.98
06:37:11   3.51   22.11
06:37:12   3.41   22.24
06:37:13   3.32   22.37
06:37:14   3.23   22.50
06:37:15   3.13   22.64
06:37:16   3.04   22.77
06:37:17   2.94   22.90
06:37:18   2.84   23.04
06:37:19   2.75   23.17
06:37:20   2.65   23.31
06:37:21   2.55   23.44
06:37:22   2.45   23.58
06:37:23   2.34   23.72
06:37:24   2.24   23.86
06:37:25   2.14   23.99
06:37:26   2.03   24.13
06:37:27   1.93   24.27
06:37:28   1.82   24.41
06:37:29   1.71   24.55
06:37:30   1.61   24.70
06:37:31   1.50   24.84
06:37:32   1.39   24.98
06:37:33   1.27   25.12
06:37:34   1.16   25.27
06:37:35   1.05   25.41
06:37:36   0.93   25.56
06:37:37   0.82   25.71
06:37:38   0.70   25.85
06:37:39   0.58   26.00
06:37:40   0.46   26.15
06:37:41   0.34   26.30
06:37:42   0.22   26.45
06:37:43   0.10   26.60
06:37:44   359.98   26.75
06:37:45   359.85   26.90
